year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,11,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",86.00,2.00,0.00,0.74,1.26,0.00,0.00,0.00,0.00,54.00,0.00,26.00,28.00,0.00,0.00
2022,11,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",59.00,5.00,1.77,0.00,1.94,0.00,1.29,0.00,0.00,290.00,178.00,0.00,69.00,0.00,43.00
2022,11,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",21.00,1.00,0.01,0.00,0.00,0.00,0.99,0.00,0.00,118.00,1.00,0.00,0.00,0.00,117.00
2022,11,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",98.00,15.00,5.11,0.00,2.69,0.00,7.20,3.00,0.00,1270.00,334.00,0.00,62.00,0.00,874.00
2022,11,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1143.00,114.00,28.67,2.26,37.27,0.00,45.80,3.00,1.00,10874.00,5451.00,128.00,1071.00,0.00,4224.00
2022,11,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",128.00,25.00,7.82,1.00,13.71,0.00,2.47,0.00,1.00,1037.00,541.00,31.00,333.00,0.00,132.00
2022,11,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",39.00,8.00,3.79,0.09,2.65,0.00,1.46,0.00,1.00,563.00,273.00,17.00,88.00,0.00,185.00
2022,11,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",57.00,7.00,0.75,0.00,2.88,0.00,3.37,2.00,0.00,676.00,75.00,0.00,87.00,0.00,514.00
2022,11,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",60.00,7.00,2.23,0.89,3.88,0.00,0.00,1.00,0.00,420.00,73.00,218.00,129.00,0.00,0.00
2022,11,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",105.00,23.00,7.61,0.00,6.41,0.00,8.98,3.00,0.00,1932.00,1188.00,0.00,239.00,0.00,505.00
2022,11,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",30.00,4.00,1.58,0.00,2.42,0.00,0.00,0.00,0.00,124.00,53.00,0.00,71.00,0.00,0.00
2022,11,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",157.00,29.00,7.94,0.00,8.33,0.00,12.73,4.00,0.00,1979.00,544.00,0.00,270.00,0.00,1165.00
2022,11,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",30.00,15.00,2.21,0.00,5.92,0.00,6.86,0.00,0.00,1399.00,755.00,0.00,204.00,0.00,440.00
2022,11,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",220.00,42.00,11.50,0.00,19.46,0.00,11.04,3.00,0.00,2640.00,715.00,0.00,712.00,0.00,1213.00
2022,11,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",19.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,44.00,29.00,0.00,15.00,0.00,0.00
2022,11,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",59.00,3.00,0.72,0.00,2.28,0.00,0.00,0.00,0.00,124.00,65.00,0.00,59.00,0.00,0.00
2022,11,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",171.00,27.00,7.32,0.00,8.41,0.00,11.27,4.00,0.00,1902.00,869.00,0.00,243.00,0.00,790.00
2022,11,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",241.00,40.00,9.17,1.99,14.64,0.00,14.21,18.00,0.00,2207.00,489.00,410.00,516.00,0.00,792.00
