tbl,year,quarter,citymarketid,cityname,airportid,apt,TotalMkts,TotalFaredPax,TotalPerLFMkts,TotalAvgHubFare,TotalPerPrem,SHMkts,SHPax,SHPerLFMkts,SHAvgHubFare,SHPerPrem,LHMkts,LHPax,LHPerLFMkts,LHAvgHubFare,LHPerPrem,tbl7pk
Table 7,2022,1,31135,"Myrtle Beach, SC",13577,MYR,57,2753500,0.9668,167.92,-0.1999,30,1824400,0.9582,144.9,-0.2727,27,929100,0.9839,213.14,-0.0766,2022113577MYR
Table 7,2022,1,34108,"Peoria, IL",14108,PIA,19,728300,0.7988,156.34,-0.2884,2,73300,0,228.5,0.1948,17,655000,0.8882,148.26,-0.3348,2022114108PIA
Table 7,2022,1,35356,"Trenton, NJ",15356,TTN,9,766000,1,96.9,-0.5229,3,108800,1,88.31,-0.5587,6,657200,1,98.32,-0.5171,2022115356TTN
Table 7,2022,1,30158,"Atlantic City, NJ",10158,ACY,7,1005900,1,99.48,-0.5145,1,61700,1,92.95,-0.5485,6,944200,1,99.91,-0.5122,2022110158ACY
Table 7,2022,1,30466,"Phoenix, AZ",10466,AZA,55,3996200,1,117.11,-0.4539,9,409800,1,92.88,-0.4868,46,3586400,1,119.88,-0.4508,2022110466AZA
Table 7,2022,1,30581,"Bangor, ME",10581,BGR,16,550800,0.5532,166.29,-0.2568,9,121200,0,178.65,-0.0113,7,429600,0.7093,162.81,-0.3098,2022110581BGR
Table 7,2021,4,30559,"Seattle, WA",14747,SEA,149,49198600,0.4446,205.67,-0.0824,29,10102000,0.3204,154.68,-0.0836,120,39096600,0.4767,218.84,-0.0822,2021414747SEA
Table 7,2021,4,31135,"Myrtle Beach, SC",13577,MYR,61,3065700,0.9487,169.87,-0.1748,33,1970900,0.962,142.23,-0.255,28,1094800,0.9246,219.64,-0.0564,2021413577MYR
Table 7,2021,4,30581,"Bangor, ME",10581,BGR,30,840100,0.2522,194.79,-0.1708,9,224700,0,183.55,0.0428,21,615400,0.3443,198.89,-0.2244,2021410581BGR
Table 7,2021,4,30466,"Phoenix, AZ",10466,AZA,53,3424200,1,108.92,-0.4884,10,434100,1,96.06,-0.4528,43,2990100,1,110.79,-0.4925,2021410466AZA
Table 7,2021,4,34108,"Peoria, IL",14108,PIA,26,789000,0.6942,157.64,-0.2755,5,132900,0,206.49,0.0838,21,656100,0.8348,147.75,-0.3377,2021414108PIA
Table 7,2022,1,31066,"Columbus, OH",12917,LCK,7,328800,1,100.9,-0.4592,2,35300,1,97.31,-0.4948,5,293500,1,101.33,-0.4547,2022112917LCK
Table 7,2022,1,30666,"Bellingham, WA",10666,BLI,13,595000,0.9867,129.77,-0.3551,,,,,,13,595000,0.9867,129.77,-0.3551,2022110666BLI
Table 7,2022,1,34761,"Sanford, FL",14761,SFB,56,4281100,1,111.21,-0.4643,15,858800,1,92.36,-0.5308,41,3422300,1,115.94,-0.4487,2022114761SFB
