Airport_name,Airport_code
"Aberdeen, SD: Aberdeen Regional (ABR)",ABR
"Abilene, TX: Abilene Regional (ABI)",ABI
"Adak Island, AK: Adak (ADK)",ADK
"Aguadilla, PR: Rafael Hernandez (BQN)",BQN
"Akron, OH: Akron-Canton Regional (CAK)",CAK
"Alamosa, CO: San Luis Valley Regional/Bergman Field (ALS)",ALS
"Albany, GA: Southwest Georgia Regional (ABY)",ABY
"Albany, NY: Albany International (ALB)",ALB
"Albuquerque, NM: Albuquerque International Sunport (ABQ)",ABQ
"Alexandria, LA: Alexandria International (AEX)",AEX
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International (ABE)",ABE
"Alpena, MI: Alpena County Regional (APN)",APN
"Amarillo, TX: Rick Husband Amarillo International (AMA)",AMA
"Anchorage, AK: Ted Stevens Anchorage International (ANC)",ANC
"Aniak, AK: Aniak Airport (ANI)",ANI
"Appleton, WI: Appleton International (ATW)",ATW
"Arcata/Eureka, CA: California Redwood Coast Humboldt County (ACV)",ACV
"Asheville, NC: Asheville Regional (AVL)",AVL
"Ashland, WV: Tri-State/Milton J. Ferguson Field (HTS)",HTS
"Aspen, CO: Aspen Pitkin County Sardy Field (ASE)",ASE
"Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)",ATL
"Atlantic City, NJ: Atlantic City International (ACY)",ACY
"Augusta, GA: Augusta Regional at Bush Field (AGS)",AGS
"Austin, TX: Austin - Bergstrom International (AUS)",AUS
"Austin, TX: Robert Mueller Municipal (AUS)",AUS
"Bakersfield, CA: Meadows Field (BFL)",BFL
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall (BWI)",BWI
"Bangor, ME: Bangor International (BGR)",BGR
"Barrow, AK: Wiley Post/Will Rogers Memorial (BRW)",BRW
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field (BTR)",BTR
"Beaumont/Port Arthur, TX: Jack Brooks Regional (BPT)",BPT
"Belleville, IL: Scott AFB MidAmerica St Louis (BLV)",BLV
"Belleville, IL: Scott AFB/MidAmerica (BLV)",BLV
"Bellingham, WA: Bellingham International (BLI)",BLI
"Bemidji, MN: Bemidji Regional (BJI)",BJI
"Bend/Redmond, OR: Roberts Field (RDM)",RDM
"Bethel, AK: Bethel Airport (BET)",BET
"Billings, MT: Billings Logan International (BIL)",BIL
"Binghamton, NY: Greater Binghamton/Edwin A. Link Field (BGM)",BGM
"Birmingham, AL: Birmingham-Shuttlesworth International (BHM)",BHM
"Bishop, CA: Bishop Airport (BIH)",BIH
"Bismarck/Mandan, ND: Bismarck Municipal (BIS)",BIS
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington (BMI)",BMI
"Boise, ID: Boise Air Terminal (BOI)",BOI
"Boston, MA: Logan International (BOS)",BOS
"Bozeman, MT: Bozeman Yellowstone International (BZN)",BZN
"Brainerd, MN: Brainerd Lakes Regional (BRD)",BRD
"Branson, MO: Branson Airport (BKG)",BKG
"Bristol/Johnson City/Kingsport, TN: Tri Cities (TRI)",TRI
"Brownsville, TX: Brownsville South Padre Island International (BRO)",BRO
"Brunswick, GA: Brunswick Golden Isles (BQK)",BQK
"Buffalo, NY: Buffalo Niagara International (BUF)",BUF
"Bullhead City, AZ: Laughlin/Bullhead International (IFP)",IFP
"Burbank, CA: Bob Hope (BUR)",BUR
"Burlington, VT: Burlington International (BTV)",BTV
"Butte, MT: Bert Mooney (BTM)",BTM
"Cape Girardeau, MO: Cape Girardeau Regional (CGI)",CGI
"Carlsbad, CA: McClellan-Palomar (CLD)",CLD
"Casper, WY: Casper/Natrona County International (CPR)",CPR
"Cedar City, UT: Cedar City Regional (CDC)",CDC
"Cedar Rapids/Iowa City, IA: The Eastern Iowa (CID)",CID
"Champaign/Urbana, IL: University of Illinois/Willard (CMI)",CMI
"Charleston, SC: Charleston AFB/International (CHS)",CHS
"Charleston/Dunbar, WV: West Virginia International Yeager (CRW)",CRW
"Charleston/Dunbar, WV: Yeager (CRW)",CRW
"Charlotte Amalie, VI: Cyril E King (STT)",STT
"Charlotte, NC: Charlotte Douglas International (CLT)",CLT
"Charlottesville, VA: Charlottesville Albemarle (CHO)",CHO
"Chattanooga, TN: Lovell Field (CHA)",CHA
"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field (CYS)",CYS
"Chicago, IL: Chicago Midway International (MDW)",MDW
"Chicago, IL: Chicago O 'Hare International (ORD)",ORD
"Chico, CA: Chico Municipal (CIC)",CIC
"Christiansted, VI: Henry E. Rohlsen (STX)",STX
"Cincinnati, OH: Cincinnati/Northern Kentucky International (CVG)",CVG
"Clarksburg/Fairmont, WV: North Central West Virginia (CKB)",CKB
"Cleveland, OH: Cleveland-Hopkins International (CLE)",CLE
"Cody, WY: Yellowstone Regional (COD)",COD
"Cold Bay, AK: Cold Bay Airport (CDB)",CDB
"College Station/Bryan, TX: Easterwood Field (CLL)",CLL
"Colorado Springs, CO: City of Colorado Springs Municipal (COS)",COS
"Columbia, MO: Columbia Regional (COU)",COU
"Columbia, SC: Columbia Metropolitan (CAE)",CAE
"Columbus, GA: Columbus Airport (CSG)",CSG
"Columbus, MS: Columbus AFB (CBM)",CBM
"Columbus, MS: Golden Triangle Regional (GTR)",GTR
"Columbus, OH: John Glenn Columbus International (CMH)",CMH
"Columbus, OH: Rickenbacker International (LCK)",LCK
"Concord, CA: Buchanan Field (CCR)",CCR
"Concord, NC: Concord Padgett Regional (USA)",USA
"Cordova, AK: Merle K Mudhole Smith (CDV)",CDV
"Corpus Christi, TX: Corpus Christi International (CRP)",CRP
"Crescent City, CA: Jack McNamara Field (CEC)",CEC
"Dallas, TX: Dallas Love Field (DAL)",DAL
"Dallas/Fort Worth, TX: Dallas/Fort Worth International (DFW)",DFW
"Dayton, OH: James M Cox/Dayton International (DAY)",DAY
"Daytona Beach, FL: Daytona Beach International (DAB)",DAB
"Deadhorse, AK: Deadhorse Airport (SCC)",SCC
"Decatur, IL: Decatur Airport (DEC)",DEC
"Del Rio, TX: Del Rio International (DRT)",DRT
"Denver, CO: Denver International (DEN)",DEN
"Des Moines, IA: Des Moines International (DSM)",DSM
"Detroit, MI: Coleman A. Young Municipal (DET)",DET
"Detroit, MI: Detroit Metro Wayne County (DTW)",DTW
"Devils Lake, ND: Devils Lake Regional (DVL)",DVL
"Dickinson, ND: Dickinson - Theodore Roosevelt Regional (DIK)",DIK
"Dillingham, AK: Dillingham Airport (DLG)",DLG
"Dodge City, KS: Dodge City Regional (DDC)",DDC
"Dothan, AL: Dothan Regional (DHN)",DHN
"Dubuque, IA: Dubuque Regional (DBQ)",DBQ
"Duluth, MN: Duluth International (DLH)",DLH
"Durango, CO: Durango La Plata County (DRO)",DRO
"Eagle, CO: Eagle County Regional (EGE)",EGE
"Eau Claire, WI: Chippewa Valley Regional (EAU)",EAU
"El Centro, CA: Imperial County (IPL)",IPL
"El Paso, TX: El Paso International (ELP)",ELP
"Elko, NV: Elko Regional (EKO)",EKO
"Elmira/Corning, NY: Elmira/Corning Regional (ELM)",ELM
"Erie, PA: Erie International/Tom Ridge Field (ERI)",ERI
"Escanaba, MI: Delta County (ESC)",ESC
"Eugene, OR: Mahlon Sweet Field (EUG)",EUG
"Evansville, IN: Evansville Regional (EVV)",EVV
"Everett, WA: Snohomish County (PAE)",PAE
"Fairbanks, AK: Fairbanks International (FAI)",FAI
"Fargo, ND: Hector International (FAR)",FAR
"Farmington, NM: Four Corners Regional (FMN)",FMN
"Fayetteville, AR: Northwest Arkansas National (XNA)",XNA
"Fayetteville, AR: Northwest Arkansas Regional (XNA)",XNA
"Fayetteville, NC: Fayetteville Regional/Grannis Field (FAY)",FAY
"Flagstaff, AZ: Flagstaff Pulliam (FLG)",FLG
"Flint, MI: Bishop International (FNT)",FNT
"Florence, SC: Florence Regional (FLO)",FLO
"Fort Collins/Loveland, CO: Northern Colorado Regional (FNL)",FNL
"Fort Dodge, IA: Fort Dodge Regional (FOD)",FOD
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International (FLL)",FLL
"Fort Leonard Wood, MO: Waynesville-St. Robert Regional Forney Field (TBN)",TBN
"Fort Myers, FL: Southwest Florida International (RSW)",RSW
"Fort Smith, AR: Fort Smith Regional (FSM)",FSM
"Fort Wayne, IN: Fort Wayne International (FWA)",FWA
"Fresno, CA: Fresno Yosemite International (FAT)",FAT
"Gainesville, FL: Gainesville Regional (GNV)",GNV
"Garden City, KS: Garden City Regional (GCK)",GCK
"Gillette, WY: Gillette Campbell County (GCC)",GCC
"Gillette, WY: Northeast Wyoming Regional (GCC)",GCC
"Grand Canyon, AZ: Grand Canyon National Park (GCN)",GCN
"Grand Forks, ND: Grand Forks International (GFK)",GFK
"Grand Island, NE: Central Nebraska Regional (GRI)",GRI
"Grand Junction, CO: Grand Junction Regional (GJT)",GJT
"Grand Rapids, MI: Gerald R. Ford International (GRR)",GRR
"Great Falls, MT: Great Falls International (GTF)",GTF
"Green Bay, WI: Green Bay Austin Straubel International (GRB)",GRB
"Greensboro/High Point, NC: Piedmont Triad International (GSO)",GSO
"Greenville, MS: Greenville Mid Delta (GLH)",GLH
"Greenville, NC: Pitt Greenville (PGV)",PGV
"Greer, SC: Greenville-Spartanburg International (GSP)",GSP
"Guam, TT: Guam International (GUM)",GUM
"Gulfport/Biloxi, MS: Gulfport-Biloxi International (GPT)",GPT
"Gunnison, CO: Gunnison-Crested Butte Regional (GUC)",GUC
"Gustavus, AK: Gustavus Airport (GST)",GST
"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field (HGR)",HGR
"Hancock/Houghton, MI: Houghton County Memorial (CMX)",CMX
"Harlingen/San Benito, TX: Valley International (HRL)",HRL
"Harrisburg, PA: Harrisburg International (MDT)",MDT
"Hartford, CT: Bradley International (BDL)",BDL
"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional (PIB)",PIB
"Hayden, CO: Yampa Valley (HDN)",HDN
"Hays, KS: Hays Regional (HYS)",HYS
"Helena, MT: Helena Regional (HLN)",HLN
"Hibbing, MN: Range Regional (HIB)",HIB
"Hickory, NC: Hickory Regional (HKY)",HKY
"Hilo, HI: Hilo International (ITO)",ITO
"Hilton Head, SC: Hilton Head Airport (HHH)",HHH
"Hobbs, NM: Lea County Regional (HOB)",HOB
"Honolulu, HI: Daniel K Inouye International (HNL)",HNL
"Hoolehua, HI: Molokai (MKK)",MKK
"Houston, TX: Ellington (EFD)",EFD
"Houston, TX: George Bush Intercontinental/Houston (IAH)",IAH
"Houston, TX: William P Hobby (HOU)",HOU
"Huntsville, AL: Huntsville International-Carl T Jones Field (HSV)",HSV
"Hyannis, MA: Barnstable Municipal-Boardman/Polando Field (HYA)",HYA
"Hyannis, MA: Cape Cod Gateway (HYA)",HYA
"Idaho Falls, ID: Idaho Falls Regional (IDA)",IDA
"Indianapolis, IN: Indianapolis International (IND)",IND
"International Falls, MN: Falls International Einarson Field (INL)",INL
"Inyokern, CA: Inyokern Airport (IYK)",IYK
"Iron Mountain/Kingsfd, MI: Ford (IMT)",IMT
"Islip, NY: Long Island MacArthur (ISP)",ISP
"Ithaca/Cortland, NY: Ithaca Tompkins International (ITH)",ITH
"Ithaca/Cortland, NY: Ithaca Tompkins Regional (ITH)",ITH
"Jackson, WY: Jackson Hole (JAC)",JAC
