CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,total_denials,cash_per_vol_denial,date
Alaska Airlines,0.0,99.0,0.0,17.0,4.0,120.0,99.0,1206.0,5844254.0,0.0,2018,Q1 2018,99.0,21.0,0.0227,0.002053,0.020636,1326.0,0.0,2018-01-01
Allegiant Airlines,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,3306693.0,0.0,2018,Q1 2018,0.0,58.0,0.0018,0.001754,0.0,58.0,,2018-01-01
American Airlines,9.0,295.0,0.0,177.0,2.0,483.0,481.0,15658.0,31525870.0,0.0,2018,Q1 2018,304.0,179.0,0.0512,0.001532,0.049667,16141.0,0.0,2018-01-01
Delta Air Lines,0.0,6.0,0.0,6.0,1.0,13.0,6.0,23777.0,30868044.0,0.0,2018,Q1 2018,6.0,7.0,0.0771,4.2e-05,0.077028,23790.0,0.0,2018-01-01
Endeavor Air,0.0,1.0,0.0,1.0,2.0,4.0,1.0,3117.0,2709157.0,0.0,2018,Q1 2018,1.0,3.0,0.1152,0.000148,0.115054,3121.0,0.0,2018-01-01
Envoy Air,0.0,22.0,0.0,37.0,0.0,59.0,59.0,3839.0,2943408.0,0.0,2018,Q1 2018,22.0,37.0,0.1324,0.002004,0.130427,3898.0,0.0,2018-01-01
ExpressJet Airlines,0.0,3.0,0.0,0.0,0.0,3.0,3.0,2230.0,2411261.0,0.0,2018,Q1 2018,3.0,0.0,0.0926,0.000124,0.092483,2233.0,0.0,2018-01-01
Frontier Airlines,0.0,98.0,0.0,78.0,12.0,188.0,53.0,949.0,4416868.0,2382.0,2018,Q1 2018,98.0,90.0,0.0257,0.004256,0.021486,1137.0,2.51,2018-01-01
Hawaiian Airlines,0.0,2.0,0.0,0.0,0.0,2.0,2.0,160.0,2676265.0,1600.0,2018,Q1 2018,2.0,0.0,0.0061,7.5e-05,0.005978,162.0,10.0,2018-01-01
JetBlue Airways,0.0,7.0,0.0,0.0,0.0,7.0,7.0,844.0,8927623.0,550230.0,2018,Q1 2018,7.0,0.0,0.0095,7.8e-05,0.009454,851.0,651.93,2018-01-01
Mesa Airlines,2.0,5.0,0.0,40.0,0.0,47.0,47.0,2413.0,2864946.0,0.0,2018,Q1 2018,7.0,40.0,0.0859,0.001641,0.084225,2460.0,0.0,2018-01-01
PSA Airlines,1.0,15.0,0.0,6.0,0.0,22.0,22.0,2416.0,3210770.0,0.0,2018,Q1 2018,16.0,6.0,0.0759,0.000685,0.075247,2438.0,0.0,2018-01-01
Republic Airline,0.0,24.0,0.0,8.0,0.0,32.0,32.0,2613.0,4050777.0,0.0,2018,Q1 2018,24.0,8.0,0.0653,0.00079,0.064506,2645.0,0.0,2018-01-01
SkyWest Airlines,0.0,29.0,1.0,54.0,4.0,88.0,64.0,7816.0,8060076.0,0.0,2018,Q1 2018,29.0,59.0,0.0981,0.001092,0.096972,7904.0,0.0,2018-01-01
Southwest Airlines,312.0,357.0,0.0,0.0,0.0,669.0,669.0,4325.0,37042370.0,0.0,2018,Q1 2018,669.0,0.0,0.0135,0.001806,0.011676,4994.0,0.0,2018-01-01
Spirit Airlines,9.0,736.0,0.0,129.0,0.0,874.0,369.0,5477.0,6180877.0,0.0,2018,Q1 2018,745.0,129.0,0.1028,0.01414,0.088612,6351.0,0.0,2018-01-01
United Air Lines,0.0,11.0,0.0,16.0,0.0,27.0,27.0,8214.0,21314280.0,1111.0,2018,Q1 2018,11.0,16.0,0.0387,0.000127,0.038538,8241.0,0.14,2018-01-01
Virgin America ,18.0,0.0,0.0,4.0,0.0,22.0,18.0,89.0,2045185.0,41000.0,2018,Q1 2018,18.0,4.0,0.0054,0.001076,0.004352,111.0,460.67,2018-01-01
Alaska Airlines,0.0,237.0,0.0,87.0,2.0,326.0,237.0,2795.0,8923390.0,0.0,2018,Q2 2018,237.0,89.0,0.035,0.003653,0.031322,3121.0,0.0,2018-04-01
Allegiant Airlines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,3729600.0,0.0,2018,Q2 2018,0.0,0.0,0.0058,0.0,0.005792,216.0,0.0,2018-04-01
American Airlines,6.0,90.0,0.0,98.0,1.0,195.0,194.0,12751.0,34773590.0,0.0,2018,Q2 2018,96.0,99.0,0.0372,0.000561,0.036669,12946.0,0.0,2018-04-01
Delta Air Lines,0.0,4.0,0.0,4.0,1.0,9.0,4.0,17602.0,36208900.0,0.0,2018,Q2 2018,4.0,5.0,0.0486,2.5e-05,0.048612,17611.0,0.0,2018-04-01
Endeavor Air,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4100.0,3617308.0,0.0,2018,Q2 2018,0.0,1.0,0.1134,2.8e-05,0.113344,4101.0,0.0,2018-04-01
Envoy Air,0.0,27.0,0.0,34.0,0.0,61.0,61.0,4273.0,3415654.0,0.0,2018,Q2 2018,27.0,34.0,0.1269,0.001786,0.1251,4334.0,0.0,2018-04-01
ExpressJet Airlines,0.0,7.0,0.0,5.0,0.0,12.0,12.0,2225.0,2350886.0,0.0,2018,Q2 2018,7.0,5.0,0.0952,0.00051,0.094645,2237.0,0.0,2018-04-01
Frontier Airlines,0.0,161.0,0.0,80.0,14.0,255.0,114.0,991.0,4946148.0,2782.0,2018,Q2 2018,161.0,94.0,0.0252,0.005156,0.020036,1246.0,2.81,2018-04-01
Hawaiian Airlines,2.0,0.0,0.0,0.0,0.0,2.0,2.0,345.0,2804422.0,0.0,2018,Q2 2018,2.0,0.0,0.0124,7.1e-05,0.012302,347.0,0.0,2018-04-01
JetBlue Airways,0.0,8.0,0.0,1.0,0.0,9.0,8.0,557.0,9893611.0,333696.0,2018,Q2 2018,8.0,1.0,0.0057,9.1e-05,0.00563,566.0,599.1,2018-04-01
