,CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6,7,year,quarter,1,2,perc_denied_boarding,perc_denied_boarding_involuntary,perc_denied_boarding_voluntary,date
0,Alaska Airlines,0.0,99.0,0.0,17.0,4.0,120.0,99.0,1206.0,5844254.0,0.0,2018,Q1 2018,99.0,21.0,0.022699999999999998,0.0021,0.0206,2018-01-01
1,Allegiant Airlines,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,3306693.0,0.0,2018,Q1 2018,0.0,58.0,0.0018,0.0018,0.0,2018-01-01
2,American Airlines,9.0,295.0,0.0,177.0,2.0,483.0,481.0,15658.0,31525870.0,0.0,2018,Q1 2018,304.0,179.0,0.051199999999999996,0.0015,0.04970000000000001,2018-01-01
3,Delta Air Lines,0.0,6.0,0.0,6.0,1.0,13.0,6.0,23777.0,30868044.0,0.0,2018,Q1 2018,6.0,7.0,0.0771,0.0,0.077,2018-01-01
4,Endeavor Air,0.0,1.0,0.0,1.0,2.0,4.0,1.0,3117.0,2709157.0,0.0,2018,Q1 2018,1.0,3.0,0.1152,9.999999999999999e-05,0.1151,2018-01-01
5,Envoy Air,0.0,22.0,0.0,37.0,0.0,59.0,59.0,3839.0,2943408.0,0.0,2018,Q1 2018,22.0,37.0,0.13240000000000002,0.002,0.13040000000000002,2018-01-01
6,ExpressJet Airlines,0.0,3.0,0.0,0.0,0.0,3.0,3.0,2230.0,2411261.0,0.0,2018,Q1 2018,3.0,0.0,0.0926,9.999999999999999e-05,0.0925,2018-01-01
7,Frontier Airlines,0.0,98.0,0.0,78.0,12.0,188.0,53.0,949.0,4416868.0,2382.0,2018,Q1 2018,98.0,90.0,0.0257,0.0043,0.0215,2018-01-01
8,Hawaiian Airlines,0.0,2.0,0.0,0.0,0.0,2.0,2.0,160.0,2676265.0,1600.0,2018,Q1 2018,2.0,0.0,0.0060999999999999995,9.999999999999999e-05,0.006,2018-01-01
9,JetBlue Airways,0.0,7.0,0.0,0.0,0.0,7.0,7.0,844.0,8927623.0,550230.0,2018,Q1 2018,7.0,0.0,0.0095,9.999999999999999e-05,0.0095,2018-01-01
10,Mesa Airlines,2.0,5.0,0.0,40.0,0.0,47.0,47.0,2413.0,2864946.0,0.0,2018,Q1 2018,7.0,40.0,0.08589999999999999,0.0015999999999999999,0.0842,2018-01-01
11,PSA Airlines,1.0,15.0,0.0,6.0,0.0,22.0,22.0,2416.0,3210770.0,0.0,2018,Q1 2018,16.0,6.0,0.0759,0.0007,0.07519999999999999,2018-01-01
12,Republic Airline,0.0,24.0,0.0,8.0,0.0,32.0,32.0,2613.0,4050777.0,0.0,2018,Q1 2018,24.0,8.0,0.06530000000000001,0.0007999999999999999,0.0645,2018-01-01
13,SkyWest Airlines,0.0,29.0,1.0,54.0,4.0,88.0,64.0,7816.0,8060076.0,0.0,2018,Q1 2018,29.0,59.0,0.0981,0.0011,0.097,2018-01-01
14,Southwest Airlines,312.0,357.0,0.0,0.0,0.0,669.0,669.0,4325.0,37042370.0,0.0,2018,Q1 2018,669.0,0.0,0.0135,0.0018,0.0117,2018-01-01
15,Spirit Airlines,9.0,736.0,0.0,129.0,0.0,874.0,369.0,5477.0,6180877.0,0.0,2018,Q1 2018,745.0,129.0,0.1028,0.014100000000000001,0.0886,2018-01-01
16,United Air Lines,0.0,11.0,0.0,16.0,0.0,27.0,27.0,8214.0,21314280.0,1111.0,2018,Q1 2018,11.0,16.0,0.0387,9.999999999999999e-05,0.0385,2018-01-01
17,Virgin America ,18.0,0.0,0.0,4.0,0.0,22.0,18.0,89.0,2045185.0,41000.0,2018,Q1 2018,18.0,4.0,0.005399999999999999,0.0011,0.0044,2018-01-01
0,Alaska Airlines Codeshare,0.0,237.0,0.0,87.0,2.0,326.0,237.0,2795.0,8923390.0,0.0,2018,Q2 2018,237.0,89.0,0.034999999999999996,0.0036999999999999997,0.0313,2018-04-01
1,Allegiant Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,3729600.0,0.0,2018,Q2 2018,0.0,0.0,0.0058,0.0,0.0058,2018-04-01
2,American Airlines,6.0,90.0,0.0,98.0,1.0,195.0,194.0,12751.0,34773590.0,0.0,2018,Q2 2018,96.0,99.0,0.0372,0.0006000000000000001,0.036699999999999997,2018-04-01
3,Delta Air Lines,0.0,4.0,0.0,4.0,1.0,9.0,4.0,17602.0,36208900.0,0.0,2018,Q2 2018,4.0,5.0,0.0486,0.0,0.0486,2018-04-01
